StationID,StationName,County,City,Province,ProvinceShortName,Region,NationalID,Latitude,Longitude,Elevation
53898,安阳,安阳县,安阳市,河南省,河南,黄淮海,410522,36.05,114.4,63
53986,新乡,新乡市辖区,新乡市,河南省,河南,黄淮海,410701,35.31667,113.88333,73
54714,德州,德州市辖区,德州市,山东省,山东,黄淮海,371401,37.43333,116.31667,21
54715,陵县,陵县,德州市,山东省,山东,黄淮海,371421,37.33333,116.56667,19
54725,惠民县,惠民县,滨州市,山东省,山东,黄淮海,371621,37.5,117.51667,12
54736,东营,东营市辖区,东营市,山东省,山东,黄淮海,370501,37.43333,118.66667,6
54764,福山,烟台市辖区,烟台市,山东省,山东,黄淮海,370601,37.5,121.25,33
54765,烟台,烟台市辖区,烟台市,山东省,山东,黄淮海,370601,37.53333,121.4,47
54774,威海,威海市辖区,威海市,山东省,山东,黄淮海,371001,37.46667,122.13333,65
54776,成山头,荣成市,威海市,山东省,山东,黄淮海,371082,37.4,122.68333,48
54808,朝阳,莘县,聊城市,山东省,山东,黄淮海,371522,36.23333,115.66667,38
54823,济南,济南市辖区,济南市,山东省,山东,黄淮海,370101,36.6,117.05,170
54824,淄川,淄博市辖区,淄博市,山东省,山东,黄淮海,370301,36.63333,117.95,95
54826,泰山,泰安市辖区,泰安市,山东省,山东,黄淮海,370901,36.25,117.1,1534
54827,泰安,泰安市辖区,泰安市,山东省,山东,黄淮海,370901,36.16667,117.15,129
54830,淄博,淄博市辖区,淄博市,山东省,山东,黄淮海,370301,36.83333,118,34
54836,沂源,沂源县,淄博市,山东省,山东,黄淮海,370323,36.18333,118.15,305
54843,潍坊,潍坊市辖区,潍坊市,山东省,山东,黄淮海,370701,36.75,119.18333,22
54852,莱阳,莱阳市,烟台市,山东省,山东,黄淮海,370682,36.96667,120.73333,54
54857,青岛,青岛市辖区,青岛市,山东省,山东,黄淮海,370201,36.06667,120.33333,76
54863,海阳,海阳市,烟台市,山东省,山东,黄淮海,370687,36.76667,121.16667,65
54868,千里岩,青岛市辖区,青岛市,山东省,山东,黄淮海,370201,36.26667,121.38333,71
54906,荷泽,菏泽市辖区,菏泽市,山东省,山东,黄淮海,371701,35.25,115.43333,50
54909,定陶,定陶县,菏泽市,山东省,山东,黄淮海,371727,35.1,115.55,51
54916,兖州,曲阜市,济宁市,山东省,山东,黄淮海,370881,35.56667,116.85,52
54929,费县,费县,临沂市,山东省,山东,黄淮海,371325,35.25,117.95,121
54936,莒县,莒县,日照市,山东省,山东,黄淮海,371122,35.58333,118.83333,107
54938,临沂,临沂市辖区,临沂市,山东省,山东,黄淮海,371301,35.05,118.35,88
54945,日照,日照市辖区,日照市,山东省,山东,黄淮海,371101,35.43333,119.53333,37
57051,三门峡,三门峡市辖区,三门峡市,河南省,河南,黄淮海,411201,34.8,111.2,410
57067,卢氏,卢氏县,三门峡市,河南省,河南,黄淮海,411224,34.05,111.03333,569
57071,孟津,孟津县,洛阳市,河南省,河南,黄淮海,410322,34.81667,112.43333,333
57073,洛阳,洛阳市辖区,洛阳市,河南省,河南,黄淮海,410301,34.63333,112.46667,137
57077,栾川,栾川县,洛阳市,河南省,河南,黄淮海,410324,33.78333,111.6,750
57083,郑州,郑州市辖区,郑州市,河南省,河南,黄淮海,410101,34.71667,113.65,110
57089,许昌,许昌市辖区,许昌市,河南省,河南,黄淮海,411001,34.01667,113.85,67
57091,开封,开封市辖区,开封市,河南省,河南,黄淮海,410201,34.78333,114.3,74
57156,西峡,西峡县,南阳市,河南省,河南,黄淮海,411323,33.3,111.5,250
57178,南阳,南阳市辖区,南阳市,河南省,河南,黄淮海,411301,33.03333,112.58333,129
57181,宝丰,宝丰县,平顶山市,河南省,河南,黄淮海,410421,33.88333,113.05,136
57193,西华,西华县,周口市,河南省,河南,黄淮海,411622,33.78333,114.51667,53
57290,驻马店,驻马店市辖区,驻马店市,河南省,河南,黄淮海,411701,33,114.01667,83
57297,信阳,信阳市辖区,信阳市,河南省,河南,黄淮海,411501,32.13333,114.05,115
58005,尚丘,商丘市辖区,商丘市,河南省,河南,黄淮海,411401,34.45,115.66667,50
58015,砀山,砀山县,宿州市,安徽省,安徽,黄淮海,341321,34.43333,116.33333,44
58027,徐州,徐州市辖区,徐州市,江苏省,江苏,黄淮海,320301,34.28333,117.15,41
